frame,value
1,4.795832
2,4.694855
3,4.747717
4,4.694855
5,4.949747
6,4.873662
7,4.898979
8,4.873662
9,4.848732
10,4.747717
11,4.873662
12,4.950822
13,4.924685
14,5.001042
15,4.898979
16,4.898979
17,4.873662
18,4.924685
19,4.898979
20,4.873662
21,4.898979
22,4.822098
23,4.950822
24,4.898979
25,5.053964
26,4.796917
27,4.949747
28,4.898979
29,4.949747
30,4.873662
31,4.796917
32,4.898979
33,4.666283
34,4.847680
35,4.694855
36,4.873662
37,4.822098
38,4.873662
39,4.666283
40,4.719500
41,4.873673
42,4.924696
43,4.873662
44,4.772127
45,4.873662
46,4.949747
47,4.875990
48,4.847680
49,4.898979
50,4.873662
51,4.848732
52,4.747717
53,4.822098
54,4.975196
55,4.847680
56,4.949747
57,4.950822
58,4.822098
59,4.641396
60,4.898979
61,4.744538
62,4.796917
63,4.898979
64,4.975196
65,4.848732
66,4.638007
67,4.898979
68,4.822098
69,4.898979
70,4.796917
71,4.873662
72,4.694855
73,4.796917
74,4.924685
75,4.694855
76,4.924696
77,4.847680
78,4.848732
79,4.898979
80,4.873662
81,4.873662
82,4.772127
83,4.822098
84,4.719500
85,4.747717
86,4.873662
87,4.796917
88,4.719500
89,4.847680
90,4.949747
91,4.822098
92,4.824182
93,4.848732
94,4.796917
95,4.848732
96,4.694855
97,4.873673
98,4.772127
99,5.001042
100,4.924696
101,4.873662
102,4.822098
103,4.924696
104,4.847680
105,4.873662
106,4.719500
107,4.975196
108,4.873662
109,4.822098
110,4.900089
111,4.769978
112,4.847680
113,4.950822
114,4.873662
115,4.898979
116,4.975196
117,4.772127
118,4.796917
119,4.848732
120,4.873662
121,4.949747
122,4.796917
123,4.666283
124,4.772127
125,4.562587
126,4.873662
127,4.796917
128,4.898979
129,4.898979
130,4.900000
131,4.949747
132,4.822098
133,4.847680
134,4.666283
135,4.873662
136,4.949747
137,4.898979
138,4.822098
139,4.949747
140,4.822098
141,4.949747
142,4.796917
143,4.873662
144,4.772127
145,4.847680
146,4.924685
147,4.898979
148,4.796917
149,4.873662
150,4.772127
151,4.949747
152,4.744538
153,4.822098
154,4.848732
155,4.898979
156,4.924685
157,4.873662
158,4.873662
159,4.873662
160,4.873662
161,4.822098
162,4.796917
163,4.822098
164,4.924696
165,4.898979
166,4.822098
167,4.949747
168,4.924696
169,4.719500
170,4.796917
171,4.694855
172,4.744538
173,4.822098
174,4.977368
175,4.822098
176,4.822098
177,4.796917
178,4.873673
179,4.822098
180,5.001042
181,4.769978
182,4.975196
183,4.924696
184,5.001042
185,4.898979
186,4.822098
187,4.924685
188,4.924696
189,4.848732
190,4.772127
191,4.924685
192,4.924685
193,4.694855
194,4.873662
195,4.824182
196,4.900000
197,4.949747
198,4.949747
199,4.873662
200,4.924685
201,4.772127
202,4.873662
203,4.924685
204,4.873662
205,4.898979
206,4.975196
207,4.769978
208,4.949747
209,4.873662
210,4.898979
211,4.719500
212,4.719500
213,4.772127
214,4.873662
215,4.873662
216,4.848732
217,4.772127
218,4.898979
219,4.898979
220,4.898979
221,4.772127
222,4.458892
223,4.719500
224,4.873662
225,4.747717
226,4.898979
227,4.949747
228,4.694855
229,4.949747
230,4.824182
231,4.975196
232,4.847680
233,4.719500
234,4.873662
235,4.772127
236,4.873662
237,4.873662
238,4.847680
239,4.949747
240,4.822098
241,4.873673
242,4.898979
243,4.873662
244,4.924696
245,4.796917
246,4.898979
247,4.822098
248,4.822098
249,4.796917
250,4.873662
251,4.772127
252,4.924696
253,4.824182
254,4.719500
255,4.822098
256,4.694855
257,4.924696
258,4.975196
259,4.796917
260,4.949747
261,4.848732
262,4.772127
263,4.772127
264,4.822098
265,4.898979
266,4.719500
267,4.694855
268,4.847680
269,4.924696
270,4.796917
271,4.848732
272,4.898979
273,4.772127
274,4.898979
275,4.822098
276,4.873662
277,4.772127
278,4.747717
279,4.873662
280,4.924685
281,4.796917
282,4.949747
283,4.719500
284,4.848732
285,4.873662
286,4.641396
287,4.772127
288,4.719500
289,4.873662
290,4.975196
291,4.873662
292,4.898979
293,4.822098
294,4.772127
295,4.949747
296,4.796917
297,4.796917
298,4.873662
299,4.898979
300,4.796917
301,4.898979
302,4.924696
303,4.949747
304,4.873662
305,4.873662
306,4.873662
307,4.796917
308,4.898979
309,4.873662
310,4.848732
311,4.900000
312,4.924696
313,4.898979
314,4.795832
315,4.691574
316,5.027294
317,4.977368
318,4.900000
319,4.898979
320,4.848732
321,4.848732
322,4.848732
323,4.873662
324,4.744538
325,4.847680
326,4.719500
327,4.822098
328,4.873662
329,4.796917
330,4.898979
331,4.772127
332,4.873662
333,4.772127
334,4.772127
335,4.822098
336,4.772127
337,4.796917
338,4.900000
339,4.924685
340,4.873662
341,4.873662
342,4.694855
343,4.719500
344,4.848732
345,4.975196
346,4.873662
347,4.824182
348,4.824182
349,4.848732
350,4.822098
351,4.873662
352,4.772127
353,4.898979
354,4.898979
355,4.949747
356,4.898979
357,4.898979
358,4.772127
359,4.847680
360,4.772127
361,4.616903
362,4.796917
363,4.873662
364,4.848732
365,4.924685
366,4.769978
367,4.666283
368,4.924685
369,4.694855
370,4.873662
371,4.772127
372,4.796917
373,4.796917
374,4.744538
375,4.719500
376,4.796917
377,4.924685
378,4.824182
379,4.924696
380,4.822098
381,4.747717
382,4.824182
383,4.949747
384,4.772127
385,4.898979
386,4.822098
387,4.848732
388,4.848732
389,4.772127
390,4.975196
391,4.848732
392,4.824182
393,4.847680
394,4.898979
395,4.924696
396,4.772127
397,4.898979
398,4.873662
399,4.822098
400,4.822098
401,5.001042
402,4.772127
403,4.694855
404,4.848732
405,4.900000
406,4.796917
407,4.924696
408,5.001042
409,4.796917
410,4.873662
411,4.796917
412,4.898979
413,4.822098
414,4.898979
415,4.873662
416,4.898979
417,4.694855
418,4.898979
419,4.924696
420,4.873662
421,4.848732
422,4.848732
423,4.822098
424,4.796917
425,4.796917
426,4.772127
427,4.641396
428,4.666283
429,4.898979
430,4.873662
431,4.641396
432,4.822098
433,4.898979
434,4.796917
435,4.666283
436,4.694855
437,4.796917
438,4.772127
439,4.847680
440,4.975196
441,4.796917
442,4.873662
443,4.747717
444,4.772127
445,4.719500
446,4.796917
447,4.769978
448,4.719500
449,4.950822
450,4.898979
451,4.924685
452,4.898979
453,4.822098
454,4.747717
455,4.975196
456,4.772127
457,4.898979
458,4.898979
459,4.744538
460,4.747717
461,5.001042
462,4.898979
463,4.873662
464,4.772127
465,4.848732
466,4.924696
467,4.873662
468,4.873662
469,4.873662
470,4.848732
471,4.848732
472,4.822098
473,4.824182
474,4.694855
475,4.924685
476,4.694855
477,4.898979
478,4.772127
479,4.847680
480,4.769978
481,4.898979
482,4.873662
483,4.796917
484,4.744538
485,4.719500
486,4.924696
487,4.975196
488,4.873662
489,4.796917
490,4.873662
491,4.924685
492,4.666283
493,4.900000
494,4.949747
495,4.822098
496,4.796917
497,4.949747
498,4.719500
499,4.666283
500,4.772127
average,4.842803
