frame,value
1,4.822110
2,4.772127
3,4.772127
4,4.744538
5,4.772127
6,4.744538
7,4.898979
8,4.848732
9,4.924685
10,4.873662
11,4.949747
12,4.949747
13,4.924685
14,4.747717
15,4.900000
16,4.824182
17,4.848732
18,4.666283
19,4.924685
20,4.796917
21,4.822098
22,4.719500
23,4.924685
24,4.848732
25,4.924685
26,4.796917
27,4.900000
28,4.898979
29,4.848732
30,4.924696
31,4.719500
32,4.822098
33,4.691574
34,4.744538
35,4.451991
36,4.616903
37,4.744538
38,4.719500
39,4.744538
40,4.796917
41,4.769978
42,4.975196
43,4.898979
44,4.796917
45,4.796917
46,4.898979
47,4.873662
48,4.772127
49,4.719500
50,4.796917
51,4.824182
52,4.924685
53,4.772127
54,4.898979
55,4.641396
56,4.616903
57,4.744538
58,4.719500
59,4.873662
60,4.772127
61,4.898979
62,4.772127
63,4.898979
64,4.898979
65,4.772127
66,4.719500
67,4.848732
68,4.873662
69,4.719500
70,4.898979
71,4.796917
72,4.975196
73,4.796917
74,4.747717
75,4.924685
76,4.822098
77,4.719500
78,4.848732
79,5.001042
80,4.924696
81,4.873662
82,4.772127
83,4.949747
84,4.772127
85,4.772127
86,4.924696
87,4.848732
88,4.796917
89,4.772127
90,4.924685
91,4.719500
92,4.772127
93,4.772127
94,4.949747
95,4.796917
96,4.744538
97,4.822098
98,4.796917
99,4.719500
100,4.796917
101,4.796917
102,4.949747
103,4.949747
104,4.719500
105,4.796917
106,4.824182
107,4.824182
108,4.848732
109,4.873662
110,4.822098
111,4.848732
112,4.694855
113,4.796917
114,4.873662
115,4.949747
116,5.027294
117,4.873673
118,4.924696
119,4.900000
120,4.900000
121,4.694855
122,4.694855
123,4.822098
124,4.796917
125,4.848732
126,4.796917
127,4.641396
128,4.873662
129,4.824182
130,4.949747
131,4.824182
132,4.824182
133,4.848732
134,4.772127
135,4.975196
136,4.666283
137,4.796917
138,4.924685
139,4.873662
140,4.744538
141,4.848732
142,4.975196
143,4.848732
144,4.796917
145,4.824182
146,4.796917
147,4.848732
148,4.873662
149,4.772127
150,4.796917
151,4.848732
152,4.796917
153,4.824182
154,4.949747
155,4.898979
156,4.900000
157,4.924685
158,4.719500
159,4.848732
160,4.796917
161,4.848732
162,4.822098
163,4.900000
164,4.898979
165,4.924685
166,4.975196
167,4.873662
168,4.848732
169,4.949747
170,4.641396
171,4.641396
172,4.975196
173,4.641396
174,4.822098
175,4.873662
176,4.900000
177,4.592793
178,4.587317
179,4.666283
180,4.949747
181,4.924685
182,4.924685
183,4.924685
184,4.949747
185,4.719500
186,4.822098
187,4.772127
188,4.719500
189,4.898979
190,4.848732
191,4.824182
192,4.898979
193,4.772127
194,4.848732
195,4.949747
196,4.848732
197,4.822098
198,4.848732
199,4.900000
200,4.744538
201,4.824182
202,4.744538
203,4.900000
204,4.924685
205,4.898979
206,4.949747
207,4.949747
208,4.949747
209,4.924696
210,4.898979
211,4.873662
212,4.873673
213,4.612453
214,4.898979
215,4.847680
216,4.666283
217,5.001042
218,4.691574
219,4.796917
220,4.744538
221,4.719500
222,4.744538
223,4.848732
224,4.848732
225,4.747717
226,4.949747
227,4.949747
228,4.949747
229,4.975196
230,4.924696
231,4.666283
232,4.822098
233,4.822098
234,4.873662
235,4.772127
236,4.873662
237,4.824182
238,4.616903
239,4.592793
240,4.719500
241,4.949747
242,4.873662
243,4.924696
244,4.873662
245,4.848732
246,4.949747
247,4.898979
248,4.848732
249,4.924685
250,4.772127
251,4.898979
252,4.848732
253,4.900000
254,4.873662
255,4.747717
256,4.873662
257,4.924685
258,4.848732
259,4.949747
260,4.873662
261,4.824182
262,4.694855
263,4.924685
264,4.949747
265,4.744538
266,4.747717
267,4.538253
268,4.873662
269,4.949747
270,4.848732
271,4.975196
272,4.694855
273,4.772127
274,4.587317
275,4.873662
276,4.873662
277,4.975196
278,4.848732
279,4.898979
280,4.949747
281,4.924685
282,4.772127
283,4.796917
284,4.848732
285,4.848732
286,4.670592
287,4.873662
288,4.587317
289,4.898979
290,4.949747
291,4.873662
292,4.848732
293,4.848732
294,4.848732
295,4.873662
296,4.769978
297,4.822098
298,4.616903
299,4.949747
300,4.848732
301,4.744538
302,4.848732
303,4.873662
304,4.873662
305,4.949747
306,4.848732
307,4.873662
308,4.847680
309,4.873662
310,4.848732
311,4.824182
312,4.873662
313,4.772127
314,4.873662
315,5.001042
316,4.848732
317,4.873662
318,4.975196
319,4.796917
320,4.924685
321,4.949747
322,4.719500
323,4.873662
324,4.873662
325,4.924685
326,4.873662
327,4.744538
328,4.772127
329,4.796917
330,4.873662
331,4.822098
332,4.796917
333,4.694855
334,4.719500
335,4.796917
336,4.694855
337,4.873662
338,4.949747
339,4.848732
340,4.848732
341,4.848732
342,4.796917
343,4.747717
344,4.824182
345,4.824182
346,4.592793
347,4.873662
348,4.719500
349,4.772127
350,4.898979
351,4.924696
352,4.848732
353,4.562587
354,4.641396
355,4.898979
356,4.824182
357,4.824182
358,4.616903
359,4.873662
360,4.824182
361,4.796917
362,4.873662
363,4.949747
364,4.873662
365,4.848732
366,4.848732
367,4.898979
368,4.747717
369,4.747717
370,4.772127
371,4.747717
372,4.873662
373,4.796917
374,4.924685
375,4.975196
376,4.900000
377,4.848732
378,4.824182
379,4.975196
380,4.900000
381,4.772127
382,4.848732
383,4.873662
384,4.592793
385,4.873662
386,4.900000
387,4.949747
388,4.848732
389,4.873662
390,4.796917
391,4.848732
392,4.641396
393,4.873662
394,4.744538
395,4.719500
396,4.772127
397,4.949747
398,4.924685
399,4.898979
400,4.772127
401,4.873662
402,4.873662
403,4.898979
404,4.900000
405,4.900000
406,4.949747
407,4.822098
408,4.483060
409,4.772127
410,4.744538
411,4.924696
412,4.694855
413,4.822098
414,4.796917
415,4.873662
416,4.924696
417,4.950822
418,4.772127
419,4.949747
420,4.873662
421,4.950822
422,4.924696
423,4.924696
424,4.796917
425,4.949747
426,4.898979
427,4.898979
428,4.772127
429,4.848732
430,4.848732
431,4.719500
432,4.796917
433,4.873662
434,4.924685
435,4.822098
436,4.848732
437,4.824182
438,4.747717
439,4.694855
440,4.873662
441,4.873662
442,4.747717
443,4.898979
444,4.772127
445,4.796917
446,4.898979
447,4.744538
448,4.924685
449,4.873662
450,4.796917
